model,kb_data,object_name,object_description,part,line,code,message,expression,source_line
BTV4Core3,C:\1 - MODELOS\V4\BTV4Core3\kb.data,BTERAACES,API de Programación - Errores de contabilidad en español,ProcedureSource,3,90001,Ya existe el registro,case &errorCode = 90001 / &errorString = 'Ya existe el registro',&errorString = 'Ya existe el registro'
BTV4Core3,C:\1 - MODELOS\V4\BTV4Core3\kb.data,BTERAACES,API de Programación - Errores de contabilidad en español,ProcedureSource,5,90002,No existe el registro,case &errorCode = 90002 / &errorString = 'No existe el registro',&errorString = 'No existe el registro'
BTV4Core3,C:\1 - MODELOS\V4\BTV4Core3\kb.data,BTERAACES,API de Programación - Errores de contabilidad en español,ProcedureSource,7,90003,Debe ingresar un título válido,case &errorCode = 90003 / &errorString = 'Debe ingresar un título válido',&errorString = 'Debe ingresar un título válido'
BTV4Core3,C:\1 - MODELOS\V4\BTV4Core3\kb.data,BTERAACES,API de Programación - Errores de contabilidad en español,ProcedureSource,9,90004,Debe ingresar un capítulo válido,case &errorCode = 90004 / &errorString = 'Debe ingresar un capítulo válido',&errorString = 'Debe ingresar un capítulo válido'
BTV4Core3,C:\1 - MODELOS\V4\BTV4Core3\kb.data,BTERAACES,API de Programación - Errores de contabilidad en español,ProcedureSource,11,90005,Debe ingresar un dígito de plazo válido,case &errorCode = 90005 / &errorString = 'Debe ingresar un dígito de plazo válido',&errorString = 'Debe ingresar un dígito de plazo válido'
BTV4Core3,C:\1 - MODELOS\V4\BTV4Core3\kb.data,BTERAACES,API de Programación - Errores de contabilidad en español,ProcedureSource,13,90006,Debe ingresar un grupo de cuentas válido,case &errorCode = 90006 / &errorString = 'Debe ingresar un grupo de cuentas válido',&errorString = 'Debe ingresar un grupo de cuentas válido'
BTV4Core3,C:\1 - MODELOS\V4\BTV4Core3\kb.data,BTERAACES,API de Programación - Errores de contabilidad en español,ProcedureSource,15,90007,Debe ingresar una descripción,case &errorCode = 90007 / &errorString = 'Debe ingresar una descripción',&errorString = 'Debe ingresar una descripción'
BTV4Core3,C:\1 - MODELOS\V4\BTV4Core3\kb.data,BTERAACES,API de Programación - Errores de contabilidad en español,ProcedureSource,17,90008,Debe ingresar un código de relación válido,case &errorCode = 90008 / &errorString = 'Debe ingresar un código de relación válido',&errorString = 'Debe ingresar un código de relación válido'
BTV4Core3,C:\1 - MODELOS\V4\BTV4Core3\kb.data,BTERAACES,API de Programación - Errores de contabilidad en español,ProcedureSource,19,90009,Debe ingresar un nombre,case &errorCode = 90009 / &errorString = 'Debe ingresar un nombre',&errorString = 'Debe ingresar un nombre'
BTV4Core3,C:\1 - MODELOS\V4\BTV4Core3\kb.data,BTERAACES,API de Programación - Errores de contabilidad en español,ProcedureSource,21,90010,Debe ingresar un valor válido,case &errorCode = 90010 / &errorString = 'Debe ingresar un valor válido',&errorString = 'Debe ingresar un valor válido'
